ID,family,marriage,child's forname(s),child's surname,birth day,birth month,birth year,address,sex,father's forename,father's surname,father's occupation,mother's forename,mother's maiden surname,mother's occupation,day of parents' marriage,month of parents' marriage,year of parents' marriage,place of parent's marriage,illegit,notes,Death,CHILD_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,DEATH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,MARRIAGE_RECORD_IDENTITY2,MARRIAGE_RECORD_IDENTITY3,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5,MARRIAGE_RECORD_IDENTITY6,MARRIAGE_RECORD_IDENTITY7,MARRIAGE_RECORD_IDENTITY8,IMMIGRANT_GENERATION
410,87,87,Rachel,Perrie,20,MARCH,1787,"2 Russel Street, Caithness",F,Christopher,Perrie,MINER COAL,Afra,Drake,,4,NOVEMBER,1781,"Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,410,410,252,209,410,87,209,252,139,,,,,,,,NA
414,91,91,Jessica,Anderson,1,MAY,1787,"2 Hillside Terrace, Croc, North Ayrshire",F,Lewis,Anderson,FARMER'S SON,Holly,Strang,SCHOLAR,17,FEBRUARY,1784,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,414,414,306,273,414,91,273,306,137,145,152,,,,,,NA
448,91,91,Catherine,Anderson,10,SEPTEMBER,1794,"2 Hillside Terrace, Croc, North Ayrshire",F,Lewis,Anderson,MASONS LABOURER,Holly,Strang,KNITTER AG LAB,17,FEBRUARY,1784,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,448,448,306,273,448,91,273,306,162,,,,,,,,NA
450,106,106,Kayleigh,Henry,22,JANUARY,1795,"1 Swanson Drive, Harden, Wick",F,Robert,Henry,GROOM,Ruby,Drake,,7,APRIL,1791,"Harden Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,450,450,308,341,450,106,341,308,150,,,,,,,,NA
452,101,101,Jackie,Jones,10,FEBRUARY,1795,"1 Hill Avenue, Pulteneytown, Wick",F,Rhys,Jones,MASON,Alexandra,Drake,,21,APRIL,1789,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,452,452,326,311,452,101,311,326,140,,,,,,,,NA
454,88,88,Sarah,Anderson,10,AUGUST,1796,"1 Market Street, The Lees, Coldstream",F,Taiwo,Anderson,PLOUGHMAN,Lauren,Mullen,,21,JULY,1784,"The Lees Coldstream ",,SYNTHETIC DATA PRODUCED USING VALIPOP,454,454,290,307,454,88,307,290,156,,,,,,,,NA
460,109,109,Sarah,Perrie,1,FEBRUARY,1796,"1 Seaforth Avenue, Pulteneytown, Wick",F,Samuel,Perrie,FISHERMAN,Stacey,Black,TEACHER OF MUSIC,7,MAY,1792,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,460,460,342,321,460,109,321,342,155,,,,,,,,NA
456,106,106,Alexandra,Henry,2,NOVEMBER,1796,"1 Swanson Drive, Harden, Wick",F,Robert,Henry,GROOM,Ruby,Drake,,7,APRIL,1791,"Harden Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,456,456,308,341,456,106,341,308,144,,,,,,,,NA
458,101,101,Abigail,Jones,16,DECEMBER,1796,"1 Hill Avenue, Pulteneytown, Wick",F,Rhys,Jones,MASON,Alexandra,Drake,,21,APRIL,1789,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,458,458,326,311,458,101,311,326,143,,,,,,,,NA
484,109,109,Imogen,Perrie,28,DECEMBER,1801,"1 Seaforth Avenue, Pulteneytown, Wick",F,Samuel,Perrie,COAL MINER,Stacey,Black,TEACHER OF MUSIC,7,MAY,1792,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,484,484,342,321,484,109,321,342,,,,,,,,,NA
486,113,113,Amy,Drake,29,DECEMBER,1801,"35 Station Road, Drumardoch Farm, Callander",F,Robert,Drake,,Sarah,Cruickshanks,HOUSEHOLD SERV,7,MAY,1800,"Drumardoch Farm Callander ",,SYNTHETIC DATA PRODUCED USING VALIPOP,486,486,354,391,486,113,391,354,,,,,,,,,NA
488,115,115,Madalyn,Powell,12,JANUARY,1801,"19 The Fieldings, East Ayrshire",F,Arron,Powell,COTTON PRINTER,Grace,Drake,COTTON WEAVER,5,MARCH,1799,"East Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,488,488,376,345,488,115,345,376,,,,,,,,,NA
490,117,117,Yasmin,Mcbain,3,AUGUST,1801,"1 Murray Crescent, Croc, North Ayrshire",F,Matthew,Mcbain,HOUSE PAINTER,Jade,Black,SCHOLAR,7,MAY,1800,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,490,490,388,369,490,117,369,388,,,,,,,,,NA
482,99,99,Megan,Henry,22,SEPTEMBER,1801,"1 Welldale Street, South Lanarkshire",F,Owen,Henry,SLATER (JOURNEYMAN),Shannon,Drake,BOOK FOLDER,8,MAY,1791,"South Lanarkshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,482,482,282,305,482,99,305,282,153,,,,,,,,NA
500,115,115,Sian,Powell,29,MARCH,1802,"19 The Fieldings, East Ayrshire",F,Arron,Powell,COTTON PRINTER,Grace,Drake,COTTON WEAVER,5,MARCH,1799,"East Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,500,500,376,345,500,115,345,376,157,158,178,,,,,,NA
504,101,101,Clare,Jones,12,JULY,1803,"1 Hill Avenue, Pulteneytown, Wick",F,Rhys,Jones,LABROUR,Alexandra,Drake,DRESSMAKER,21,APRIL,1789,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,504,504,326,311,504,101,311,326,163,,,,,,,,NA
508,115,115,Francesca,Powell,21,APRIL,1803,"19 The Fieldings, East Ayrshire",F,Arron,Powell,COTTON PRINTER,Grace,Drake,COTTON WEAVER,5,MARCH,1799,"East Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,508,508,376,345,508,115,345,376,159,,,,,,,,NA
518,125,,Amy-jo,Cruickshanks,7,MAY,1806,,F,Logan,Cruickshanks,SCHOLAR,Jodie,Hamilton,COTTON WEAVER,,,,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,518,518,338,427,518,,427,338,154,191,,,,,,,NA
526,110,110,Emilie,Mullen,4,JANUARY,1807,"1 Gearra Mor, Na h-Eileanan Siar",F,Ryan,Mullen,BAKER EMPLOYING 2 MEN,Chloe,Mccann,,2,OCTOBER,1795,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,526,526,330,325,526,110,325,330,164,,,,,,,,NA
524,91,91,Chelsea,Anderson,13,JULY,1807,"2 Hillside Terrace, Croc, North Ayrshire",F,Lewis,Anderson,GARDENER 8 ACRES EMPLOYING 1 MAN,Holly,Strang,,17,FEBRUARY,1784,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,524,524,306,273,524,91,273,306,161,,,,,,,,NA
532,100,100,Jodie,Anderson,11,AUGUST,1809,"1 Burnside Place, Anstruther Easter, Anstruther",F,Thomas,Anderson,FARMER OF 3 ACRES,Eloise,Black,,22,JULY,1790,"Anstruther Easter Anstruther ",,SYNTHETIC DATA PRODUCED USING VALIPOP,532,532,302,271,532,100,271,302,183,,,,,,,,NA
536,103,103,Sophie,Mullen,7,MARCH,1809,"408 Fullarton Drive, Troon, South Ayrshire",F,Ryan,Mullen,FANCY COTTON & WOOL WEAVER,Emily,Powell,DRESS MARKER,2,APRIL,1800,,,SYNTHETIC DATA PRODUCED USING VALIPOP,536,536,352,323,536,103,323,352,188,,,,,,,,NA
538,115,115,Cari,Powell,12,DECEMBER,1809,"19 The Fieldings, East Ayrshire",F,Arron,Powell,JOINER,Grace,Drake,COTTON WEAVER,5,MARCH,1799,"East Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,538,538,376,345,538,115,345,376,174,,,,,,,,NA
540,118,118,Joanna,Cruickshanks,11,SEPTEMBER,1809,"4 Pilot Place, Broadhaven, Caithness",F,Aaron,Cruickshanks,GROOM DOMESTIC,Katharine,Kidd,DOMESTIC SERV,12,MARCH,1800,"Broadhaven Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,540,540,390,387,540,118,387,390,176,,,,,,,,NA
534,109,109,Sophie,Perrie,9,DECEMBER,1809,"1 Seaforth Avenue, Pulteneytown, Wick",F,Samuel,Perrie,COAL MINER,Stacey,Black,,7,MAY,1792,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,534,534,342,321,534,109,321,342,175,,,,,,,,NA
542,119,119,Amy,Grant,5,JULY,1810,"41 Chalmers Court, Three Bridges, Inveraray",F,Regan,Grant,GROCER,Sophie,Anderson,DOMESTIC DUTIES,8,JANUARY,1798,"Three Bridges Inveraray ",,SYNTHETIC DATA PRODUCED USING VALIPOP,542,542,320,327,542,119,327,320,169,181,,,,,,,NA
544,130,130,Sabrina,Henry,27,NOVEMBER,1810,"41 Kilnford Drive, South Ayrshire",F,Mitchel,Henry,PLOUGHMAN,Sophie,Mcbain,HOUSEKEEPING,29,MAY,1812,,,SYNTHETIC DATA PRODUCED USING VALIPOP,544,544,382,377,544,130,377,382,167,,,,,,,,NA
550,122,122,Katie,Perrie,3,JANUARY,1811,"573 Rathad an Duin, Na h-Eileanan Siar",F,Suhel,Perrie,BUTLER,Emma,Anderson,,12,DECEMBER,1799,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,550,550,356,353,550,122,353,356,192,,,,,,,,NA
548,109,109,Abigail,Perrie,20,APRIL,1811,"1 Seaforth Avenue, Pulteneytown, Wick",F,Samuel,Perrie,BOOT MAKER,Stacey,Black,,7,MAY,1792,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,548,548,342,321,548,109,321,342,172,196,,,,,,,NA
552,118,118,Amy,Cruickshanks,20,APRIL,1811,"4 Pilot Place, Broadhaven, Caithness",F,Aaron,Cruickshanks,GROOM DOMESTIC,Katharine,Kidd,DOMESTIC SERV,12,MARCH,1800,"Broadhaven Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,552,552,390,387,552,118,387,390,171,,,,,,,,NA
560,130,130,Gina,Henry,16,OCTOBER,1813,"41 Kilnford Drive, South Ayrshire",F,Mitchel,Henry,FLAX DRESSER,Sophie,Mcbain,FOREWOMAN IN A MANUFACTURER WAREHOUSE,29,MAY,1812,,,SYNTHETIC DATA PRODUCED USING VALIPOP,560,560,382,377,560,130,377,382,202,,,,,,,,NA
564,117,117,Rebecca,Mcbain,22,OCTOBER,1814,"1 Murray Crescent, Croc, North Ayrshire",F,Matthew,Mcbain,FARMER SON,Jade,Black,,7,MAY,1800,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,564,564,388,369,564,117,369,388,,,,,,,,,NA
566,133,133,Holly,Cruickshanks,20,AUGUST,1814,"1 Latch Road, Belhaven, Dunbar",F,Jake,Cruickshanks,TILE MAKER,Ellen,Anderson,FARMER DAUR,22,JULY,1809,"Belhaven Dunbar ",,SYNTHETIC DATA PRODUCED USING VALIPOP,566,566,428,425,566,133,425,428,,,,,,,,,NA
574,139,139,Hannah,Mullen,2,NOVEMBER,1815,"1 Bankhead, Pulteneytown, Wick",F,Max,Mullen,SCHOOLAR,Rachel,Perrie,KITCHEN MAID,18,FEBRUARY,1815,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,574,574,410,471,574,139,471,410,,,,,,,,,NA
572,137,137,Charlotte,Powell,30,MARCH,1815,"1 Milfield Gardens, Scaurs, Jedburgh",F,Patrick,Powell,FARMER OF 25 ACRES,Jessica,Anderson,DOMESTIC SERVANT,15,FEBRUARY,1813,"Scaurs Jedburgh ",,SYNTHETIC DATA PRODUCED USING VALIPOP,572,572,414,191,572,137,191,414,180,186,,,,,,,NA
576,136,136,Emma,Mcbain,31,MAY,1815,"1 Pilot Row, Broadhaven, Caithness",F,Michael,Mcbain,RAILWAY LABROUR,Charley,Black,DOMESTIC SERV,13,JUNE,1809,"Broadhaven Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,576,576,424,405,576,136,405,424,179,,,,,,,,NA
582,133,133,Hayley,Cruickshanks,26,DECEMBER,1816,"1 Latch Road, Belhaven, Dunbar",F,Jake,Cruickshanks,TILE MAKER,Ellen,Anderson,FARMER DAUR,22,JULY,1809,"Belhaven Dunbar ",,SYNTHETIC DATA PRODUCED USING VALIPOP,582,582,428,425,582,133,425,428,185,,,,,,,,NA
586,131,131,Charlotte,Perrie,23,NOVEMBER,1817,"570 Rathad an Duin, Na h-Eileanan Siar",F,Aidan,Perrie,JOINER (JOUR),Josephine,Henry,,13,SEPTEMBER,1806,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,586,586,404,389,586,131,389,404,190,,,,,,,,NA
588,139,139,Georgia,Mullen,27,JULY,1817,"1 Bankhead, Pulteneytown, Wick",F,Max,Mullen,SCHOOLAR,Rachel,Perrie,KITCHEN MAID,18,FEBRUARY,1815,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,588,588,410,471,588,139,471,410,198,,,,,,,,NA
584,112,112,Abbie,Black,10,MARCH,1817,"1 Station Road, Pulteneytown, Wick",F,Aaron,Black,AG LABOURER,Sarah,Mcbain,,5,JANUARY,1798,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,584,584,362,365,584,112,365,362,189,,,,,,,,NA
590,129,129,Lucy,Anderson,14,MARCH,1818,"1 Old Bridge End, Scaurs, Jedburgh",F,Karandeep,Anderson,FARMER SON,Jodie,Hamilton,DRESS MAKER,10,JULY,1811,,,SYNTHETIC DATA PRODUCED USING VALIPOP,590,590,338,441,590,129,441,338,,,,,,,,,NA
592,132,132,Alexis,Grant,30,NOVEMBER,1818,"1 East Forth Street, Cellardyke, Fife",F,Callum,Grant,CLOTH LAPPER,Grace,Drake,,31,MARCH,1811,"Cellardyke Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,592,592,376,451,592,132,451,376,,,,,,,,,NA
594,139,139,Danielle,Mullen,16,JUNE,1818,"1 Bankhead, Pulteneytown, Wick",F,Max,Mullen,SCHOOLAR,Rachel,Perrie,,18,FEBRUARY,1815,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,594,594,410,471,594,139,471,410,,,,,,,,,NA
598,144,144,Robyn,Drake,26,SEPTEMBER,1818,"575 Rathad an Duin, Na h-Eileanan Siar",F,Luke,Drake,SCHOLAR,Alexandra,Henry,,16,SEPTEMBER,1818,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,598,598,456,489,598,144,489,456,,,,,,,,,NA
596,133,133,Chloe,Cruickshanks,30,MARCH,1818,"1 Latch Road, Belhaven, Dunbar",F,Jake,Cruickshanks,TILE MAKER,Ellen,Anderson,FARMER DAUR,22,JULY,1809,"Belhaven Dunbar ",,SYNTHETIC DATA PRODUCED USING VALIPOP,596,596,428,425,596,133,425,428,182,,,,,,,,NA
616,139,139,Robyn,Mullen,25,SEPTEMBER,1822,"1 Bankhead, Pulteneytown, Wick",F,Max,Mullen,GARDENER (APPRENTICE),Rachel,Perrie,,18,FEBRUARY,1815,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,616,616,410,471,616,139,471,410,,,,,,,,,NA
618,143,143,Rebecca,Mcbain,31,OCTOBER,1822,"574 Rathad an Duin, Na h-Eileanan Siar",F,Michael,Mcbain,PASTRY BAKER,Abigail,Jones,AG LAB,11,SEPTEMBER,1820,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,618,618,458,405,618,143,405,458,209,,,,,,,,NA
620,148,148,Elin,Drake,20,NOVEMBER,1823,"1 Rowan Road, Soroba, Oban",F,George,Drake,COAL MINER,Sarah,Anderson,,1,MARCH,1823,"Soroba Oban ",,SYNTHETIC DATA PRODUCED USING VALIPOP,620,620,408,519,620,148,519,408,193,,,,,,,,NA
624,151,151,Heather,Cruickshanks,19,NOVEMBER,1824,"1 Dunnet Avenue, Pulteneytown, Wick",F,William,Cruickshanks,ENGINEER,Jade,Black,,30,APRIL,1821,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,624,624,388,491,624,151,491,388,,,,,,,,,NA
628,143,143,Louise,Mcbain,10,MAY,1824,"574 Rathad an Duin, Na h-Eileanan Siar",F,Michael,Mcbain,PASTRY BAKER,Abigail,Jones,AG LAB,11,SEPTEMBER,1820,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,628,628,458,405,628,143,405,458,223,,,,,,,,NA
626,142,142,Safiyah,Cruickshanks,3,AUGUST,1824,"1 Castle Road, Genoch Farm, South Ayrshire",F,Logan,Cruickshanks,DAY LABOURER,Nichola,Cruickshanks,,28,NOVEMBER,1818,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,626,626,406,427,626,142,427,406,201,,,,,,,,NA
640,157,157,Emma,Cruickshanks,13,MARCH,1826,"1 Braeview, South Broomage, Stenhousemuir",F,Joshua,Cruickshanks,PLOUGHMAN,Sian,Powell,,31,MAY,1823,"South Broomage Stenhousemuir ",,SYNTHETIC DATA PRODUCED USING VALIPOP,640,640,500,487,640,157,487,500,207,,,,,,,,NA
638,156,156,Claire,Powell,1,OCTOBER,1826,"1 Cowden Road, Perth and Kinross",F,Oliver,Powell,SCHOLAR,Sarah,Anderson,GOVERNESS,17,JULY,1826,"Perth and Kinross",,SYNTHETIC DATA PRODUCED USING VALIPOP,638,638,454,539,638,156,539,454,208,,,,,,,,NA
654,143,143,Rahel,Mcbain,10,JULY,1829,"574 Rathad an Duin, Na h-Eileanan Siar",F,Michael,Mcbain,SPIRIT DEALER,Abigail,Jones,,11,SEPTEMBER,1820,,,SYNTHETIC DATA PRODUCED USING VALIPOP,654,654,458,405,654,143,405,458,,,,,,,,,NA
656,153,153,Caitlin,Anderson,5,OCTOBER,1829,"2 Park Terrace, Croc, North Ayrshire",F,Shane,Anderson,GROCERS SHOPMAN,Megan,Henry,SEMPSTRESS,18,JANUARY,1823,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,656,656,482,459,656,153,459,482,,,,,,,,,NA
652,142,142,Lydia,Cruickshanks,18,SEPTEMBER,1829,"1 Castle Road, Genoch Farm, South Ayrshire",F,Logan,Cruickshanks,DAY LABOURER,Nichola,Cruickshanks,,28,NOVEMBER,1818,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,652,652,406,427,652,142,427,406,200,,,,,,,,NA
658,154,154,Isla,Mullen,20,FEBRUARY,1829,"12 Bank Street, Greenlaw Station House, Greenlaw",F,Cameron,Mullen,CARTER,Amy-jo,Cruickshanks,AG LAB,20,JULY,1824,"Greenlaw Station House Greenlaw ",,SYNTHETIC DATA PRODUCED USING VALIPOP,658,658,518,431,658,154,431,518,199,,,,,,,,NA
662,161,161,Natasha,Perrie,21,MAY,1830,"577 Rathad an Duin, Na h-Eileanan Siar",F,Joseph,Perrie,PATIENT,Chelsea,Anderson,HOUSE MAID,20,NOVEMBER,1824,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,662,662,524,505,662,161,505,524,195,,,,,,,,NA
668,143,143,Sophia,Mcbain,21,OCTOBER,1831,"574 Rathad an Duin, Na h-Eileanan Siar",F,Michael,Mcbain,SPIRIT DEALER,Abigail,Jones,,11,SEPTEMBER,1820,,,SYNTHETIC DATA PRODUCED USING VALIPOP,668,668,458,405,668,143,405,458,266,,,,,,,,NA
670,158,158,Charley,Anderson,29,APRIL,1831,"1 Lagrannoch Drive, Braeleny Farm, Stirling",F,Jack,Anderson,GENERAL LAW CLERK,Sian,Powell,,13,JULY,1826,"Braeleny Farm Stirling",,SYNTHETIC DATA PRODUCED USING VALIPOP,670,670,500,485,670,158,485,500,215,,,,,,,,NA
672,159,159,Joanna,Jones,9,MAY,1831,"2 Gearra Mor, Na h-Eileanan Siar",F,Sam,Jones,RAILWAY PORTER,Francesca,Powell,HOUSE MAID,15,JUNE,1824,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,672,672,508,517,672,159,517,508,253,,,,,,,,NA
674,161,161,Anna,Perrie,21,APRIL,1831,"577 Rathad an Duin, Na h-Eileanan Siar",F,Joseph,Perrie,PATIENT,Chelsea,Anderson,HOUSE MAID,20,NOVEMBER,1824,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,674,674,524,505,674,161,505,524,214,,,,,,,,NA
676,162,162,Aisha,Grant,17,OCTOBER,1832,"1 Milfield Gardens, Scaurs, Jedburgh",F,Benjamin,Grant,PLASTERER (JY),Catherine,Anderson,HOUSEHOLD WORK,12,APRIL,1828,"Scaurs Jedburgh ",,SYNTHETIC DATA PRODUCED USING VALIPOP,676,676,448,551,676,162,551,448,,,,,,,,,NA
680,167,167,Sophie,Jones,29,MAY,1832,"7 Gearra Mor, Na h-Eileanan Siar",F,Matthew,Jones,HAMMER MAN,Sabrina,Henry,DOMESTIC SERVANT,13,DECEMBER,1830,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,680,680,544,509,680,167,509,544,219,,,,,,,,NA
678,166,166,Charleigh,Black,4,OCTOBER,1832,"4 Gearra Mor, Na h-Eileanan Siar",F,Aaron,Black,LABOURER,Roisin,Anderson,DOMESTIC FARM SERV,27,MAY,1829,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,678,678,462,513,678,166,513,462,203,,,,,,,,NA
684,161,161,Sophie,Perrie,30,JUNE,1833,"577 Rathad an Duin, Na h-Eileanan Siar",F,Joseph,Perrie,PATIENT,Chelsea,Anderson,HOUSE MAID,20,NOVEMBER,1824,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,684,684,524,505,684,161,505,524,210,,,,,,,,NA
686,165,165,Florence,Anderson,2,NOVEMBER,1833,"1 Bail Ur, Highland",F,Bradley,Anderson,MASON,Harriet,Cruickshanks,,4,AUGUST,1829,"Highland",,SYNTHETIC DATA PRODUCED USING VALIPOP,686,686,558,531,686,165,531,558,205,,,,,,,,NA
694,167,167,Katie,Jones,30,MAY,1834,"7 Gearra Mor, Na h-Eileanan Siar",F,Matthew,Jones,HAMMER MAN,Sabrina,Henry,DOMESTIC SERVANT,13,DECEMBER,1830,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,694,694,544,509,694,167,509,544,,,,,,,,,NA
696,144,144,Emily,Drake,3,AUGUST,1835,"575 Rathad an Duin, Na h-Eileanan Siar",F,Luke,Drake,LABOURER,Alexandra,Henry,AGR LABOU,16,SEPTEMBER,1818,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,696,696,456,489,696,144,489,456,258,,,,,,,,NA
698,170,170,Holly,Powell,15,NOVEMBER,1835,"1 Cearnàg na Baranachd, Na h-Eileanan Siar",F,Luis,Powell,SCHOLAR,Lauren,Cruickshanks,FACTORY WORKER,9,MARCH,1834,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,698,698,522,587,698,170,587,522,230,,,,,,,,NA
