ID,forename(s) of deceased,surname of deceased,occupation,marital status,sex,name of spouse,spouse's occ,day,month,year,address,age at death,father's forename,father's surname,father's occupation,if father deceased,mother's forename,mother's maiden surname,mother's occupation,if mother deceased,death code A,death code B,death code C,notes1,Birth,mar,DECEASED_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,SPOUSE_IDENTITY,BIRTH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,SPOUSE_MARRIAGE_RECORD_IDENTITY,SPOUSE_BIRTH_RECORD_IDENTITY,IMMIGRANT_GENERATION
486,Amy,Drake,LODGING HOUSE KEEPER,S,F,,,20,MAY,1878,"35 Station Road, Drumardoch Farm, Callander",76,Robert,Drake,,D,Sarah,Cruickshanks,,D,M79.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,486,,486,354,391,,486,113,391,354,,,NA
488,Madalyn,Powell,RETIRED DOMESTIC SERVANT,S,F,,,19,NOVEMBER,1885,"1 East Forth Street, Cellardyke, Fife",84,Arron,Powell,,D,Grace,Drake,,D,I51.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,488,,488,376,345,,488,115,345,376,,,NA
490,Yasmin,Mcbain,HOUSE KEEPER,S,F,,,1,SEPTEMBER,1887,"1 Dunnet Avenue, Pulteneytown, Wick",86,Matthew,Mcbain,,D,Jade,Black,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,490,,490,388,369,,490,117,369,388,,,NA
482,Megan,Henry,,W,F,Shane Anderson,SHAWL WEAVER,22,JANUARY,1889,"2 Park Terrace, Croc, North Ayrshire",87,Owen,Henry,,D,Shannon,Drake,,D,R54.05,R53.03,,SYNTHETIC DATA PRODUCED USING VALIPOP,482,153,482,282,305,459,482,99,305,282,153,459,NA
500,Sian,Powell,,R,F,Reuben Anderson,SHIP CARPENTER,21,JULY,1855,"1 Beaconsfield Terrace Lane, West End, Hawick",53,Arron,Powell,,D,Grace,Drake,,D,A16.91,,,SYNTHETIC DATA PRODUCED USING VALIPOP,500,178,500,376,345,511,500,115,345,376,178,511,NA
504,Clare,Jones,FORMERLY COOK,W,F,Joshua Cruickshanks,GARDENER (MASTER),5,JANUARY,1874,"1 East Drive, Thomsford, Fife",70,Rhys,Jones,,D,Alexandra,Drake,,D,A16.96,,,SYNTHETIC DATA PRODUCED USING VALIPOP,504,163,504,326,311,487,504,101,311,326,163,487,NA
508,Francesca,Powell,PAUPER FORMERLY MILL WORKS AT NET FACTORY,M,F,Sam Jones,FISHERMAN,10,JANUARY,1874,"2 Gearra Mor, Na h-Eileanan Siar",70,Arron,Powell,,D,Grace,Drake,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,508,159,508,376,345,517,508,115,345,376,159,517,NA
518,Amy-jo,Cruickshanks,,R,F,Thomas Kidd,LABOURER,15,JUNE,1881,"2 Cowden Road, Perth and Kinross",75,Logan,Cruickshanks,,D,Jodie,Hamilton,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,518,191,518,338,427,655,518,,427,338,191,655,NA
526,Emilie,Mullen,,W,F,Patrick Cruickshanks,PLOUGHMAN,3,FEBRUARY,1890,"578 Rathad an Duin, Na h-Eileanan Siar",83,Ryan,Mullen,,D,Chloe,Mccann,,D,R53.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,526,164,526,330,325,541,526,110,325,330,164,541,NA
524,Chelsea,Anderson,COOK FORMERLY,W,F,Joseph Perrie,LATE SEAMAN,28,DECEMBER,1895,"577 Rathad an Duin, Na h-Eileanan Siar",88,Lewis,Anderson,,D,Holly,Strang,,D,J42.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,524,161,524,306,273,505,524,91,273,306,161,505,NA
532,Jodie,Anderson,SEMPSTRESS,M,F,Aaron Mullen,JOINER,22,NOVEMBER,1859,"123 Lagrannoch Drive, Braeleny Farm, Stirling",50,Thomas,Anderson,,D,Eloise,Black,,D,R53.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,532,183,532,302,271,633,532,100,271,302,183,633,NA
536,Sophie,Mullen,WHITESEAM SEWER,W,F,Aaron Perrie,HOUSE CARPENTER,20,MARCH,1869,"133 Smith Way, Dumfries and Galloway",60,Ryan,Mullen,,D,Emily,Powell,,D,I38.01,R18.00,,SYNTHETIC DATA PRODUCED USING VALIPOP,536,188,536,352,323,537,536,103,323,352,188,537,NA
538,Cari,Powell,,M,F,John Cruickshanks,TILEMAKER,9,MARCH,1869,"579 Rathad an Duin, Na h-Eileanan Siar",59,Arron,Powell,,D,Grace,Drake,,D,Y34.07,,,SYNTHETIC DATA PRODUCED USING VALIPOP,538,174,538,376,345,571,538,115,345,376,174,571,NA
540,Joanna,Cruickshanks,CLOTH CLIPPER,W,F,Thomas Mullen,FARMER OF 162 ACRES,4,AUGUST,1875,"1 Gowanlea, The Lees, Coldstream",65,Aaron,Cruickshanks,,D,Katharine,Kidd,,D,R60.91,,,SYNTHETIC DATA PRODUCED USING VALIPOP,540,176,540,390,387,499,540,118,387,390,176,499,NA
534,Sophie,Perrie,FARMER'S WIFE,M,F,Jason Cruickshanks,FARMER OF 20 EMPL ACRES,20,MAY,1875,"8 Gearra Mor, Na h-Eileanan Siar",65,Samuel,Perrie,,D,Stacey,Black,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,534,175,534,342,321,553,534,109,321,342,175,553,NA
542,Amy,Grant,,W,F,Ashan Drake,FARMER OF 27 ACRES ARRABLE 3 LAB,16,DECEMBER,1867,"1 Bracklinn Road, Drumardoch Farm, Callander",57,Regan,Grant,,D,Sophie,Anderson,,D,K63.91,,,SYNTHETIC DATA PRODUCED USING VALIPOP,542,181,542,320,327,479,542,119,327,320,181,479,NA
544,Sabrina,Henry,,W,F,Matthew Jones,STOKER AT RAILWAY STATION,6,JANUARY,1884,"7 Gearra Mor, Na h-Eileanan Siar",73,Mitchel,Henry,,D,Sophie,Mcbain,,D,R53.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,544,167,544,382,377,509,544,130,377,382,167,509,NA
550,Katie,Perrie,SHEPHERD WIFE,M,F,Marley Cruickshanks,FISHERMAN,30,DECEMBER,1855,"1 Leith Walk, Pulteneytown, Wick",44,Suhel,Perrie,,D,Emma,Anderson,,D,N30.20,N05.91,,SYNTHETIC DATA PRODUCED USING VALIPOP,550,192,550,356,353,589,550,122,353,356,192,589,NA
548,Abigail,Perrie,SICK NURSE,W,F,Ryan Cruickshanks,AGR LABOURER,15,MAY,1880,"200 Clyde Drive, Milnwood, North Lanarkshire",69,Samuel,Perrie,,D,Stacey,Black,,D,K80.20,I51.90,,SYNTHETIC DATA PRODUCED USING VALIPOP,548,196,548,342,321,611,548,109,321,342,196,611,NA
552,Amy,Cruickshanks,BOAT BUILDER'S WIFE,W,F,Ryan Grant,CLERK,1,AUGUST,1880,"571 Rathad an Duin, Na h-Eileanan Siar",69,Aaron,Cruickshanks,,D,Katharine,Kidd,,D,I51.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,552,171,552,390,387,569,552,118,387,390,171,569,NA
560,Gina,Henry,WASHER & DRESSER,M,F,Alexander Drake,CATTLE MARKET OFFICER,2,JANUARY,1863,"1 Ladylands Drive, Glenburn Hall, Jedburgh",49,Mitchel,Henry,,D,Sophie,Mcbain,,D,C16.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,560,202,560,382,377,613,560,130,377,382,202,613,NA
564,Rebecca,Mcbain,DOMESTIC SERV,S,F,,,24,MAY,1870,"1 Dunnet Avenue, Pulteneytown, Wick",55,Matthew,Mcbain,,D,Jade,Black,,D,K46.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,564,,564,388,369,,564,117,369,388,,,NA
566,Holly,Cruickshanks,,W,F,,,15,AUGUST,1887,"568 Rathad an Duin, Na h-Eileanan Siar",72,Jake,Cruickshanks,,D,Ellen,Anderson,,D,J18.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,566,,566,428,425,,566,133,425,428,,,NA
574,Hannah,Mullen,FARMER WIFE,S,F,,,19,NOVEMBER,1884,"1 Bankhead, Pulteneytown, Wick",69,Max,Mullen,,D,Rachel,Perrie,,D,J40.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,574,,574,410,471,,574,139,471,410,,,NA
572,Charlotte,Powell,,R,F,Edward Mcbain,GENERAL LABOURER,23,JANUARY,1889,"2 Pilot Place, Broadhaven, Caithness",73,Patrick,Powell,,D,Jessica,Anderson,,D,G83.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,572,186,572,414,191,597,572,137,191,414,186,597,NA
576,Emma,Mcbain,FARMER'S WIFE,W,F,Luke Cruickshanks,LABOURER,17,APRIL,1889,"9 Gearra Mor, Na h-Eileanan Siar",73,Michael,Mcbain,,D,Charley,Black,,D,J45.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,576,179,576,424,405,585,576,136,405,424,179,585,NA
582,Hayley,Cruickshanks,,M,F,William Perrie,COTTON HAND LOOM WEAVER,3,MAY,1859,"1 Asquith Place, Milnwood, North Lanarkshire",42,Jake,Cruickshanks,,D,Ellen,Anderson,,D,I51.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,582,185,582,428,425,567,582,133,425,428,185,567,NA
586,Charlotte,Perrie,,M,F,Michael Cruickshanks,FARMER OF 68 ACRES EMPLOYING 2 LABOURERS & 1 BOY,20,APRIL,1891,"1 Hartrigge Crescent, Scaurs, Scottish Borders",73,Aidan,Perrie,,D,Josephine,Henry,,D,R54.05,K31.94,,SYNTHETIC DATA PRODUCED USING VALIPOP,586,190,586,404,389,593,586,131,389,404,190,593,NA
588,Georgia,Mullen,CROFTER,W,F,Conor Cruickshanks,(FORMERLY) BUTLER,30,MARCH,1892,"1 Gearra Mor, Na h-Eileanan Siar",74,Max,Mullen,,D,Rachel,Perrie,,D,I51.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,588,198,588,410,471,573,588,139,471,410,198,573,NA
584,Abbie,Black,PAUPER,W,F,Luis Powell,BUTLER,28,MAY,1892,"580 Rathad an Duin, Na h-Eileanan Siar",75,Aaron,Black,,D,Sarah,Mcbain,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,584,189,584,362,365,587,584,112,365,362,189,587,NA
590,Lucy,Anderson,,S,F,,,27,DECEMBER,1897,"1 Old Bridge End, Scaurs, Jedburgh",79,Karandeep,Anderson,,D,Jodie,Hamilton,,D,J20.91,,,SYNTHETIC DATA PRODUCED USING VALIPOP,590,,590,338,441,,590,129,441,338,,,NA
592,Alexis,Grant,PAUPER FORMERLY WASHERWOMAN,S,F,,,12,JULY,1899,"1 East Forth Street, Cellardyke, Fife",80,Callum,Grant,,D,Grace,Drake,,D,J45.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,592,,592,376,451,,592,132,451,376,,,NA
594,Danielle,Mullen,RETIRED FARMER,S,F,,,3,APRIL,1901,"1 Bankhead, Pulteneytown, Wick",82,Max,Mullen,,D,Rachel,Perrie,,D,J42.00,R55.00,,SYNTHETIC DATA PRODUCED USING VALIPOP,594,,594,410,471,,594,139,471,410,,,NA
598,Robyn,Drake,FUND-HOLDER,S,F,,,10,APRIL,1904,"575 Rathad an Duin, Na h-Eileanan Siar",85,Luke,Drake,,D,Alexandra,Henry,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,598,,598,456,489,,598,144,489,456,,,NA
596,Chloe,Cruickshanks,STOCKING WEAVER,W,F,Christopher Mcbain,PAUPER (FORMERLY BLACKSMITH),26,NOVEMBER,1904,"10 Gearra Mor, Na h-Eileanan Siar",86,Jake,Cruickshanks,,D,Ellen,Anderson,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,596,182,596,428,425,557,596,133,425,428,182,557,NA
616,Robyn,Mullen,DRESS MAKER,S,F,,,24,JULY,1864,"1 Bankhead, Pulteneytown, Wick",41,Max,Mullen,,D,Rachel,Perrie,,,R99.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,616,,616,410,471,,616,139,471,410,,,NA
618,Rebecca,Mcbain,LODGING HOUSE KEEPER,M,F,Kojo Cruickshanks,HARDWARE MERCT,8,FEBRUARY,1873,"33 Balquhidderock, Broomridge, Stirling",50,Michael,Mcbain,,D,Abigail,Jones,,D,C76.24,,,SYNTHETIC DATA PRODUCED USING VALIPOP,618,209,618,458,405,621,618,143,405,458,209,621,NA
620,Elin,Drake,,M,F,Callum Jones,LABOURER GENERAL,9,NOVEMBER,1878,"1 Burnside Park, Perth and Kinross",54,George,Drake,,,Sarah,Anderson,,D,N28.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,620,193,620,408,519,595,620,148,519,408,193,595,NA
624,Heather,Cruickshanks,DRESSMAKER,S,F,,,2,SEPTEMBER,1871,"1 Dunnet Avenue, Pulteneytown, Wick",46,William,Cruickshanks,,,Jade,Black,,D,A16.93,,,SYNTHETIC DATA PRODUCED USING VALIPOP,624,,624,388,491,,624,151,491,388,,,NA
628,Louise,Mcbain,AG LABOURER WIFE,W,F,Alexander Drake,FARMER OF 42 ACRES,1,JANUARY,1886,"1 St Molios Park, Croc, North Ayrshire",61,Michael,Mcbain,,D,Abigail,Jones,,D,I51.90,R60.91,,SYNTHETIC DATA PRODUCED USING VALIPOP,628,223,628,458,405,613,628,143,405,458,223,613,NA
626,Safiyah,Cruickshanks,SICK NURSE,W,F,Callum Perrie,PROPRIETOR OF HOUSES,24,MARCH,1899,"1 Burnflat Drive, West End, Scottish Borders",74,Logan,Cruickshanks,,D,Nichola,Cruickshanks,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,626,201,626,406,427,591,626,142,427,406,201,591,NA
640,Emma,Cruickshanks,FORMERLY SERV,M,F,Jack Anderson,STONE DYKER,25,JUNE,1884,"2 Hartrigge Crescent, Scaurs, Scottish Borders",58,Joshua,Cruickshanks,,D,Sian,Powell,,D,I51.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,640,207,640,500,487,645,640,157,487,500,207,645,NA
638,Claire,Powell,AG LAB,W,F,Connor Grant,PLOUGHMAN,14,APRIL,1895,"1 Torrie Wyne, Fife",68,Oliver,Powell,,D,Sarah,Anderson,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,638,208,638,454,539,617,638,156,539,454,208,617,NA
654,Rahel,Mcbain,BOOT CLOSER,S,F,,,17,MARCH,1860,"574 Rathad an Duin, Na h-Eileanan Siar",30,Michael,Mcbain,,D,Abigail,Jones,,,C25.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,654,,654,458,405,,654,143,405,458,,,NA
656,Caitlin,Anderson,POWER LOOM WEAVER,S,F,,,15,APRIL,1860,"2 Park Terrace, Croc, North Ayrshire",30,Shane,Anderson,,,Megan,Henry,,,I51.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,656,,656,482,459,,656,153,459,482,,,NA
652,Lydia,Cruickshanks,FARMER'S WIFE,W,F,Josh Grant,COAL MINER,22,NOVEMBER,1894,"1 Birch Avenue, Southfield, Scottish Borders",65,Logan,Cruickshanks,,D,Nichola,Cruickshanks,,D,A09.02,,,SYNTHETIC DATA PRODUCED USING VALIPOP,652,200,652,406,427,609,652,142,427,406,200,609,NA
658,Isla,Mullen,PAPER MILL WORKER,W,F,Ambrose Cruickshanks,LABOURER,4,APRIL,1896,"1 Carr Crescent, Crail, Fife",67,Cameron,Mullen,,D,Amy-jo,Cruickshanks,,D,R60.91,,,SYNTHETIC DATA PRODUCED USING VALIPOP,658,199,658,518,431,651,658,154,431,518,199,651,NA
662,Natasha,Perrie,LETTER CARRIER'S WIFE,W,F,Joshua Mcbain,CARTER,25,JULY,1891,"1 Swanson Drive, Harden, Wick",61,Joseph,Perrie,,D,Chelsea,Anderson,,,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,662,195,662,524,505,639,662,161,505,524,195,639,NA
668,Sophia,Mcbain,,W,F,Oliver Anderson,MASON,10,SEPTEMBER,1895,"5 Pilot Place, Broadhaven, Caithness",63,Michael,Mcbain,,D,Abigail,Jones,,D,G83.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,668,266,668,458,405,905,668,143,405,458,266,905,NA
670,Charley,Anderson,COFFEE ROOM KEEPER,M,F,Benjamin Cruickshanks,CARTER,30,NOVEMBER,1895,"1 Old Shore Road, Argyll and Bute",64,Jack,Anderson,,D,Sian,Powell,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,670,215,670,500,485,671,670,158,485,500,215,671,NA
672,Joanna,Jones,WIFE,W,F,Andrew Perrie,RETIRED FARMER,3,OCTOBER,1897,"4 Pilot Place, Broadhaven, Caithness",66,Sam,Jones,,D,Francesca,Powell,,D,J81.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,672,253,672,508,517,659,672,159,517,508,253,659,NA
674,Anna,Perrie,FUND HOLDER,W,F,Aaron Drake,STONE MASON,26,OCTOBER,1899,"3 Swanson Drive, Harden, Wick",68,Joseph,Perrie,,D,Chelsea,Anderson,,D,M79.00,R52.90,,SYNTHETIC DATA PRODUCED USING VALIPOP,674,214,674,524,505,709,674,161,505,524,214,709,NA
676,Aisha,Grant,,S,F,,,21,NOVEMBER,1880,"1 Milfield Gardens, Scaurs, Jedburgh",48,Benjamin,Grant,,D,Catherine,Anderson,,D,A16.96,,,SYNTHETIC DATA PRODUCED USING VALIPOP,676,,676,448,551,,676,162,551,448,,,NA
680,Sophie,Jones,,D,F,Andrew Perrie,CARPENTER,15,JULY,1887,"4 Pilot Place, Broadhaven, Caithness",55,Matthew,Jones,,D,Sabrina,Henry,,D,J20.90,J42.00,,SYNTHETIC DATA PRODUCED USING VALIPOP,680,219,680,544,509,659,680,167,509,544,219,659,NA
678,Charleigh,Black,PIRN WINDER,M,F,Luke Jones,DAY LABOURER,12,MARCH,1887,"1 The Glebe, Pulteneytown, Wick",54,Aaron,Black,,,Roisin,Anderson,,D,J20.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,678,203,678,462,513,575,678,166,513,462,203,575,NA
684,Sophie,Perrie,DOMESTIC SERV,M,F,Benjamin Cruickshanks,JOURNEYMAN TAILOR,17,OCTOBER,1870,"1 Hebridean Gardens, Crieff, Perth and Kinross",37,Joseph,Perrie,,D,Chelsea,Anderson,,,O95.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,684,210,684,524,505,671,684,161,505,524,210,671,NA
686,Florence,Anderson,BONNET KNITTER,M,F,Joseph Anderson,COAL MINER,15,MARCH,1870,"6 Gearra Mor, Na h-Eileanan Siar",36,Bradley,Anderson,,D,Harriet,Cruickshanks,,D,O95.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,686,205,686,558,531,669,686,165,531,558,205,669,NA
694,Katie,Jones,,M,F,,,29,SEPTEMBER,1876,"570 Rathad an Duin, Na h-Eileanan Siar",42,Matthew,Jones,,,Sabrina,Henry,,,A16.96,,,SYNTHETIC DATA PRODUCED USING VALIPOP,694,,694,544,509,,694,167,509,544,,,NA
696,Emily,Drake,(FORMERLY) SEAMSTRESS,W,F,Shai Cruickshanks,CARPENTER & AGRL LABR,18,OCTOBER,1897,"2 Hill Avenue, Pulteneytown, Wick",62,Luke,Drake,,D,Alexandra,Henry,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,696,258,696,456,489,879,696,144,489,456,258,879,NA
698,Holly,Powell,SISTER,M,F,Jack Black,POLICE OFFICER,28,JULY,1898,"1 Scotia Crescent, Swinhill, Larkhall",62,Luis,Powell,,D,Lauren,Cruickshanks,,D,J42.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,698,230,698,522,587,715,698,170,587,522,230,715,NA
700,Grace,Anderson,STOCKING KNITTER,W,F,Samuel Mcbain,LABOURER,31,DECEMBER,1898,"1 Miller Lane, Pulteneytown, Wick",63,Bradley,Anderson,,D,Harriet,Cruickshanks,,D,R54.05,R53.03,J42.00,SYNTHETIC DATA PRODUCED USING VALIPOP,700,204,700,558,531,643,700,165,531,558,204,643,NA
702,Chelsea,Mcbain,,M,F,Alexander Cruickshanks,COAL MINER,8,MAY,1894,"5 Swanson Drive, Harden, Wick",57,Michael,Mcbain,,D,Abigail,Jones,,D,A01.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,702,243,702,458,405,713,702,143,405,458,243,713,NA
